"id.age.sex.region.income.married.children.car.save_act.current_act.mortgage.pep"	"num"
"ID12101,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES"	1
"ID12102,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO"	2
"ID12103,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO"	3
"ID12104,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO"	4
"ID12105,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO"	5
"ID12106,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES"	6
"ID12107,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES"	7
"ID12108,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO"	8
"ID12109,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO"	9
"ID12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO"	10
"ID12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO"	11
"ID12112,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO"	12
"ID12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES"	13
"ID12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES"	14
"ID12115,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO"	15
"ID12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO"	16
"ID12117,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO"	17
"ID12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO"	18
"ID12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES"	19
"ID12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO"	20
"ID12121,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES"	21
"ID12122,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO"	22
"ID12123,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO"	23
"ID12124,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO"	24
"ID12125,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO"	25
"ID12126,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO"	26
"ID12127,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO"	27
"ID12128,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES"	28
"ID12129,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO"	29
"ID12130,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES"	30
"ID12131,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO"	31
"ID12132,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO"	32
"ID12133,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES"	33
"ID12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO"	34
"ID12135,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES"	35
"ID12136,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO"	36
"ID12137,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO"	37
"ID12138,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES"	38
"ID12139,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO"	39
